2017-09-25 10:43:02,652:INFO: Connecting to 10.51.108.199:5674
2017-09-25 10:43:02,678:INFO: Created channel=1
2017-09-25 10:43:12,349:INFO: Connecting to 10.51.108.199:5674
2017-09-25 10:43:12,360:INFO: Created channel=1
2017-09-25 10:43:12,580:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,582:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,585:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,587:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,590:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,592:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,595:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,597:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,599:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,602:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,604:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,607:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,609:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,612:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,614:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,616:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,619:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
2017-09-25 10:43:12,621:ERROR: [ERROR]: redis_conn: sadd ('ACHIHUO_MINI_NAMESPACES', 'dz101_question_mini_spider'), Unknown Command: sadd
